candidate_id,sample_id,split_as_published,image_path,mask_path,image_size_bytes,mask_size_bytes,image_sha256,mask_sha256,source_page_url,source_commit,wavelength_window,medical_scene,label_type,domain_tier,license,license_review_status,target_domain_flag,training_eligible,review_state,data_boundary
D097,d097_train_01,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\01.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\01.tif,230548,230548,6523eec3f390e2eee387a90ae9386ee9362161ce22b3957effedd0e9029fcbc1,0830e42aa32d10aec94dcf3f6c2357d9621495b821b0aa8f23a26e8b169a09ba,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_02,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\02.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\02.tif,327828,327828,eabe34a883eec156c2966011c89ee950bfc847c1e2467312b2a65e676ae9aa46,23c28217e04b96413114dc225bd369ebb5194a030e9db399f6471b002e8f98dd,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_03,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\03.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\03.tif,230548,230548,2bd40adf92d50000f035917cf1ef482029cab1b46338d90282615830a15cd3a0,9859bb273379b6d6a86cb3bdd6396f16aee67784a7202a32cf133c28e8a08be3,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_04,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\04.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\04.tif,327828,327828,db3b58efb10c9fb1374227d31e712dfc1c9a54f89c2425ac2ec6105be5fb3b2a,feab3c9002bf23599b1e3edd60e6a567b629fe545d7a4ac996efd96d6e5c5ffb,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_05,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\05.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\05.tif,230548,230548,30ff4c1ba3574a2bc3482c2175926ec65be7b257d394e2dfd1778454b21a48fe,890d09f27f305661fb55493df6c25978a5649e14b1c18f0ce38346e5ab0fef85,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_06,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\06.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\06.tif,327828,327828,84f9e1fcf528edf546072491bbbd0cf8815b15650cddbd64f66e3b182ca47149,d69746b6c029e85c48da76ae2758082f1f810e83518eaad8e1a1dd2ff95a9945,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_07,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\07.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\07.tif,230548,230548,3b9ae1b783bcf6564479f7f410f1ea7e1558a5a839e2866f54787b6015293aaa,aef8efb7406ccaecda30ac87272075e44b6a5a585393ef83cb04552fc27eb3da,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_08,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\08.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\08.tif,327828,327828,95106b76718c6b24c5db3bf05f6ccdc457c55f921e55bed7832379c93263d985,e5a12810c75eda987882eeb87ecd5b9fb76ac43ea39a618c4d84f825a997708e,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_09,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\09.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\09.tif,230548,230548,b0d82e426d01dd360f34ae3dcc1ca26951384f5383027d5b81c3d27d1e068c32,48c5bf4fec0b2e4b1f47158cdfc326d995ed9be605efde1be70337618655a827,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
D097,d097_train_10,train,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_images_train\10.tif,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d097_nir2b_vessel_masks_20260724\raw\repository\NIR-IIb_sO2_UNet-e5f3e95e9d72f222b98eead220e567484f2cdc72\gut (closed + opened belly)_masks_train\10.tif,327828,327828,ca267b427e18219bac18d693fd5d2d251dc40ed92e1d120d85e2382b5d1f7174,62db9ab3e96c09902e86a1e635136c034fd9b258449be3f592341c278c5aa56b,https://github.com/ZhongLab2020/NIR-IIb_sO2_UNet,e5f3e95e9d72f222b98eead220e567484f2cdc72,NIR-IIb 1500-1700 nm,gut closed/opened-belly intestinal vasculature,binary vessel mask,animal_nir2b_vessel_segmentation_proxy,no repository license declared,blocked_missing_license,False,False,review_required,"The files are a non-jaw NIR-IIb vascular proxy. They do not provide lesion, osteomyelitis, bone-surface, RGB-paired, or clinical ground-truth labels. Training admission remains blocked until the owner grants data-use permission and provenance is documented."
